CORPORATE_IDENTIFICATION_NUMBER,Company_Name,Company_status,Company_class,Company_Category,Company_sub_category,DATE_OF_REGISTRATION,REGISTERED_STATE,AUTHORIZED_CAP,PAIDUP_CAPITAL,Industrial_Class,PRINCIPAL_BUSINESS_ACTIVITY_AS_PER_CIN,Registered_Office_Address,REGISTRAR_OF_COMPANIES,EMAIL_ADDR,Latest_Year_AR,Latest_Year_BS
L01100RJ1979PLC001851,SABOO BROTHERS LIMITED,Active,Public,Company limited by Shares,Non-govt company,06-02-79,Rajasthan,65100000,60962000,1100,"Agriculture, hunting and related service activities","332 B-BLOCK ANAND PLAZA UNIVERSITY ROAD UDAIPUR , Udaipur Unclassified RJ 313001",RoC-Jaipur,saboo.brothers@gmail.com,31-03-20,31-03-20
L01110RJ2006PLC047173,BAJAJ CONSUMER CARE LIMITED,Active,Public,Company limited by Shares,Non-govt company,25-04-06,Rajasthan,200000000,147534346,1110,"Agriculture, hunting and related service activities","Old Station Road Sevashram Chouraha Udaipur , Udaipur Unclassified RJ 313001",RoC-Jaipur,sethu@bajajconsumer.com,31-03-20,31-03-20
L01300RJ1995PLC009541,H R B FLORICULTURE LIMITED,Active,Public,Company limited by Shares,Non-govt company,20-02-95,Rajasthan,55000000,22763000,1300,"Agriculture, hunting and related service activities","A-28,RAM NAGAR SHASTRI NAGAR JAIPUR , Unclassified RJ 302016",RoC-Jaipur,hrbflrltd@yahoo.com,31-03-20,31-03-20
L14100RJ1980PLC002145,RAJDARSHAN INDUSTRIES LIMITED,Active,Public,Company limited by Shares,Non-govt company,26-12-80,Rajasthan,39000000,31083000,14100,Other mining and quarrying,"59, MOTI MAGRI SCHEME, UDAIPUR59 MOTI MAGRI SCHEME, UDAIPUR , Unclassified RJ 000000",RoC-Jaipur,info@rajdarshanindustrieslimited.com,31-03-20,31-03-20
L14101RJ1979PLC001928,LUSTRE TILES LTD,Active,Public,Company limited by Shares,Non-govt company,22-09-79,Rajasthan,35000000,22132000,14101,Other mining and quarrying,"A65-66,RIICO INDUSTRIAL AREA,BHIWADI,DISTT.ALWAR (RAJ) 301 019 301 019 , Unclassified RJ 000000",RoC-Jaipur,NA,NA,NA
L14101RJ1981PLC002419,JAIN MARMO INDUSTRIES LIMITED,Active,Public,Company limited by Shares,Non-govt company,13-08-81,Rajasthan,36400000,31306000,14101,Other mining and quarrying,"47/10, KIRAN PATH, MANSROWAR, JAIPUR , Unclassified RJ 302020",RoC-Jaipur,jainmarmo_udr@yahoo.com,31-03-20,31-03-20
L14101RJ1984PLC003134,ELEGANT MARBLES AND GRANI INDUSTRIESLIMITED,Active,Public,Company limited by Shares,Non-govt company,05-11-84,Rajasthan,50000000,36600000,14101,Other mining and quarrying,"E-7/9, RIICO INDUSTRIAL AREA, ABU ROAD , Unclassified RJ 000000",RoC-Jaipur,elegantmarbles@gmail.com,31-03-20,31-03-20
L14101RJ1989PLC004903,MADHAV MARBLES AND GRANITES LIMITED,Active,Public,Company limited by Shares,Non-govt company,07-04-89,Rajasthan,180000000,89470000,14101,Other mining and quarrying,"FIRST FLOOR, MUMAL TOWERS 16, SAHELI MARG UDAIPUR , Udaipur Unclassified RJ 313001",RoC-Jaipur,madhavnorth@madhavmarbles.com,31-03-20,31-03-20
L14101RJ1994PLC008930,INANI MARBLES AND INDUSTRIES LTD.,Active,Public,Company limited by Shares,Non-govt company,18-10-94,Rajasthan,100000000,37200000,14101,Other mining and quarrying,"ARAJI NO.1312 UDAIPUR- BHILWARA HIGHWAY NEAR MATAJI KI PANDOLI CHITTORGARH , Chittorgarh Unclassified RJ 312001",RoC-Jaipur,INANIMARBLE@GMAIL.COM,31-03-20,31-03-20
L14102RJ1987PLC007839,POLAR MARMO AGGLOMERATES LIMITED,Active,Public,Company limited by Shares,Non-govt company,25-11-87,Rajasthan,150000000,117618012,14102,Other mining and quarrying,"SP 1-3, INDUSTRIAL AREA, PRATAP NAGAR, UDAIPUR , Udaipur Unclassified RJ 313001",RoC-Jaipur,polarmarmo@gmail.com,31-03-20,31-03-20
